Rk,Gtm,Date,,Opp,Rslt,PA,AB,R,H,2B,3B,HR,RBI,BB,IBB,SO,HBP,SH,SF,ROE,GDP,SB,CS,BA,OBP,SLG,OPS,LOB,#,Thr,Opp. Starter (GmeSc)
58,58,Jun 10,,CHC,W2-1,53,44,2,6,1,0,1,2,8,4,12,1,0,0,0,0,0,0,.245,.324,.426,.751,17,13,L,W.Miley(54)
59,59,Jun 11,,CHC,W8-0,36,34,8,11,0,0,6,8,1,0,7,0,0,1,0,0,0,0,.247,.325,.434,.758,4,10,R,M.Swarmer(33)
60,60,Jun 12,,CHC,W18-4,48,41,18,17,4,0,4,18,7,0,7,0,0,0,1,0,0,0,.250,.328,.441,.769,6,9,R,K.Thompson(27)
61,61,Jun 14,,TBR,W2-0,34,30,2,5,2,0,0,1,3,0,4,1,0,0,1,0,3,0,.249,.327,.438,.765,8,10,R,C.Kluber(62)
62,62,Jun 15,,TBR,W4-3,28,26,4,3,0,0,2,4,2,1,9,0,0,0,1,1,0,1,.247,.326,.437,.763,0,9,L,S.McClanahan(61)
63,63,Jun 16,,TBR,W2-1,30,27,2,4,0,0,1,2,3,0,5,0,0,0,0,2,2,0,.246,.324,.435,.759,3,11,L,J.Beeks(57)
64,64,Jun 17,@,TOR,W12-3,46,40,12,14,3,0,4,12,4,1,9,2,0,0,0,1,1,0,.248,.327,.440,.767,7,10,R,R.Stripling(44)
65,65,Jun 18,@,TOR,W4-0,38,33,4,8,3,0,0,4,3,0,6,1,1,0,0,1,0,0,.248,.327,.438,.765,7,10,R,A.Manoah(44)
66,66,Jun 19,@,TOR,L9-10,43,36,9,11,2,0,5,9,5,0,13,2,0,0,0,0,1,1,.249,.328,.444,.772,7,11,L,Y.Kikuchi(47)
67,67,Jun 20,@,TBR,W4-2,36,33,4,7,1,1,1,3,2,0,11,0,0,1,1,1,2,0,.248,.327,.443,.770,5,10,L,S.McClanahan(67)
68,68,Jun 21,@,TBR,L4-5,36,31,4,5,2,0,1,4,5,0,10,0,0,0,0,1,0,0,.247,.326,.442,.768,5,10,L,J.Beeks(43)
69,69,Jun 22,@,TBR,W5-4,44,35,5,7,0,0,3,4,8,0,8,1,0,0,1,0,0,0,.246,.327,.442,.769,12,11,R,S.Baz(56)
70,70,Jun 23,,HOU,W7-6,38,32,7,6,0,0,2,7,6,0,10,0,0,0,1,0,0,1,.245,.327,.441,.768,5,9,L,F.Valdez(60)
71,71,Jun 24,,HOU,L1-3,37,32,1,5,1,0,1,1,4,0,6,1,0,0,0,0,1,0,.244,.326,.439,.765,9,11,R,J.Verlander(67)
72,72,Jun 25,,HOU,L0-3,31,28,0,0,0,0,0,0,3,0,15,0,0,0,1,0,0,0,.241,.323,.434,.757,4,12,R,C.Javier(89)
73,73,Jun 26,,HOU,W6-3,38,30,6,4,0,0,3,6,7,1,9,0,1,0,0,1,1,0,.240,.323,.434,.757,4,11,R,J.Urquidy(71)
74,74,Jun 27,,OAK,W9-5,40,31,9,8,3,0,2,9,6,0,7,1,0,0,0,1,1,0,.240,.324,.435,.759,7,10,R,P.Blackburn(50)
75,75,Jun 28,,OAK,W2-1,29,27,2,5,1,0,1,2,2,0,8,0,0,0,0,1,1,0,.240,.323,.434,.757,3,9,R,F.Montas(61)
76,76,Jun 29,,OAK,W5-3,30,28,5,6,1,0,2,5,2,0,6,0,0,0,0,1,0,0,.239,.323,.434,.757,1,9,L,C.Irvin(49)
77,77,Jun 30,@,HOU,L1-2,35,32,1,5,0,0,1,1,3,0,11,0,0,0,0,0,0,0,.238,.321,.432,.753,7,11,R,L.Garcia(62)
78,78,Jul 2 (1),@,CLE,W13-4,46,39,13,14,1,0,4,12,7,0,5,0,0,0,1,3,2,0,.240,.324,.436,.759,6,10,L,K.McCarty(38)
79,79,Jul 2 (2),@,CLE,W6-1,34,30,6,7,1,0,2,5,3,0,9,0,0,1,0,2,1,0,.240,.323,.436,.759,1,9,R,A.Civale(50)
80,80,Jul 3,@,CLE,L0-2,33,29,0,1,0,0,0,0,3,0,10,1,0,0,1,0,1,0,.238,.321,.432,.753,6,12,R,T.McKenzie(81)
81,81,Jul 5,@,PIT,L2-5,38,36,2,10,3,0,0,2,2,0,9,0,0,0,0,1,0,0,.238,.321,.431,.752,9,9,L,J.Quintana(58)
82,82,Jul 6,@,PIT,W16-0,55,46,16,22,4,0,6,16,8,0,10,0,0,1,1,2,3,0,.242,.325,.440,.765,12,11,R,M.Keller(42)
83,83,Jul 7,@,BOS,W6-5,39,34,6,7,1,1,2,6,5,0,7,0,0,0,0,0,1,0,.242,.325,.440,.765,6,9,R,J.Winckowski(28)
